"id","booking_id","receipt_number","payment_date","rent_paid","electric_paid","material_paid","shed_paid","temp_receipt_number","payment_mode","cash_paid","upi_paid","event_session_id","remarks"
"225","30","1523","2025-10-26","8000","0","0","0",,"Cash & UPI","5000","3000","1",
"226","34","1524","2025-10-26","5000","0","0","0",,"Cash & UPI","4500","500","1",
"227","11","1525","2025-10-26","8000","0","0","0",,"Cash & UPI","4000","4000","1",
"228","5","1526","2025-10-26","7000","0","0","0",,"Cash","7000","0","1",
"229","38","1527","2025-10-26","20000","0","0","0",,"Cash","20000","0","1",
"230","29","1528","2025-10-26","10000","0","0","0",,"UPI","0","10000","1",
"231","15","1529","2025-10-26","15000","0","0","0",,"Cash & UPI","10000","5000","1",
"232","3","1530","2025-10-26","9000","0","0","0",,"Cash & UPI","5000","4000","1",
"233","28","1531","2025-10-26","8000","0","0","0",,"Cash","8000","0","1",
"234","6","1532","2025-10-26","7000","0","0","0",,"Cash & UPI","2000","5000","1",
"235","10","1533","2025-10-26","8000","0","0","0",,"UPI","0","8000","1",
"236","31","1534","2025-10-26","3000","0","0","0",,"UPI","0","3000","1",
"237","37","1535","2025-10-26","20000","0","0","0",,"Cash","20000","0","1",
"238","7","1536","2025-10-26","8000","0","0","0",,"Cash","8000","0","1",
"239","18","1537","2025-10-26","8000","0","0","0",,"Cash","8000","0","1",
"240","20","1538","2025-10-26","6000","0","0","0",,"UPI","0","6000","1",
"241","39","1539","2025-10-26","10000","0","0","0",,"Cash & UPI","2400","7600","1",
"242","17","1540","2025-10-27","2000","0","0","0",,"Cash","2000","0","1",
"243","2","1541","2025-10-27","2000","0","0","0",,"UPI","0","2000","1",
"244","37","1542","2025-10-27","5000","0","0","0",,"Cash","5000","0","1",
"246","30","0","2025-10-03","0","0","0","3000",,"Cash","3000","0","1",
"247","1","0","2025-11-01","0","0","0","3000",,"Cash","3000","0","1",
"248","2","0","2025-11-01","0","0","1200","0",,"Cash","1200","0","1",
"249","3","0","2025-11-01","0","0","0","1500",,"Cash","1500","0","1",
"250","7","0","2025-11-01","0","0","0","3000",,"Cash","3000","0","1",
"251","5","0","2025-11-01","0","0","600","0",,"Cash","600","0","1",
"252","18","0","2025-11-01","0","0","0","1500",,"Cash","1500","0","1",
"253","25","0","2025-11-01","0","0","1000","0",,"Cash","1000","0","1",
"254","19","0","2025-11-01","0","0","700","0",,"Cash","700","0","1",
"255","15","0","2025-11-01","0","0","0","3000",,"Cash","3000","0","1",
"256","21","0","2025-11-01","0","0","500","0",,"Cash","500","0","1",
"257","23","0","2025-11-01","0","0","600","0",,"Cash","600","0","1",
"258","37","0","2025-11-01","0","0","0","2000",,"Cash","2000","0","1",
"259","26","0","2025-11-01","0","0","0","1000",,"Cash","1000","0","1",
"260","19","1543","2025-11-02","5000","0","0","0",,"UPI","0","5000","1",
"261","35","1544","2025-11-02","4000","0","0","0",,"Cash & UPI","2000","2000","1",
"262","20","1545","2025-11-02","10000","0","0","0",,"UPI","0","10000","1",
"263","13","1546","2025-11-02","25000","0","0","0",,"Cash & UPI","10000","15000","1",
"264","8","1547","2025-11-02","15000","0","0","0",,"Cash & UPI","10000","5000","1",
"265","1","1548","2025-11-02","10000","0","0","0",,"Cash","10000","0","1",
"266","2","1549","2025-11-02","8000","0","0","0",,"Cash & UPI","3000","5000","1",
"267","4","1550","2025-11-02","12000","0","0","0",,"Cash","12000","0","1",
"268","32","1551","2025-11-02","5000","0","0","0",,"Cash","5000","0","1",
"269","33","1551","2025-11-03","5000","0","0","0",,"Cash & UPI","1000","4000","1",
"270","23","1552","2025-11-02","5000","0","0","0",,"UPI","0","5000","1",
"271","29","1553","2025-11-02","15000","0","0","0",,"Cash","15000","0","1",
"272","12","1554","2025-11-02","12000","0","0","0",,"Cash & UPI","2000","10000","1",
"273","25","1555","2025-11-02","14000","0","0","0",,"UPI","0","14000","1",
"274","21","1556","2025-11-02","5000","0","0","0",,"Cash & UPI","2500","2500","1",
"275","5","1557","2025-11-02","5000","0","0","0",,"Cash","5000","0","1",
"276","27","1558","2025-11-02","5000","0","0","0",,"Cash","5000","0","1",
"277","18","1559","2025-11-02","12000","0","0","0",,"Cash & UPI","10000","2000","1",
"278","11","1560","2025-11-02","10000","0","0","0",,"UPI","0","10000","1",
"279","16","1561","2025-11-02","10000","0","0","0",,"Cash & UPI","3000","7000","1",
"280","15","1562","2025-11-02","15000","0","0","0",,"Cash","15000","0","1",
"281","26","1563","2025-11-02","6000","0","0","0",,"Cash & UPI","2000","4000","1",
"282","3","1564","2025-11-02","8000","0","0","0",,"Cash & UPI","5000","3000","1",
"283","7","1565","2025-11-02","7000","0","0","0",,"Cash","7000","0","1",
"284","28","1566","2025-11-02","8000","0","0","0",,"Cash","8000","0","1",
"285","37","1567","2025-11-02","20000","0","0","0",,"Cash","20000","0","1",
"286","6","1568","2025-11-02","8000","0","0","0",,"Cash & UPI","5500","2500","1",
"287","38","1569","2025-11-02","20000","0","0","0",,"Cash","20000","0","1",
"288","14","1570","2025-11-02","7000","0","0","0",,"UPI","0","7000","1",
"289","34","1571","2025-11-02","5000","0","0","0",,"Cash & UPI","3500","1500","1",
"290","9","1572","2025-11-02","5000","0","0","0",,"UPI","0","5000","1",
"291","31","1573","2025-11-02","8000","0","0","0",,"Cash & UPI","4005","3995","1",
"292","10","1574","2025-11-02","10000","0","0","0",,"UPI","0","10000","1",
"293","39","1575","2025-11-02","10000","0","0","0",,"Cash & UPI","9500","500","1",
"294","30","1576","2025-11-02","15000","0","0","0",,"UPI","0","15000","1","Paid to Gtm a/c"
"295","30","NA","2025-11-03","0","0","1800","0",,"UPI","0","1800","1","Paid to Gtm a/c
"
"296","28","1578","2025-11-03","2000","0","0","0",,"UPI","0","2000","1","To GTM a/c"
"297","17","1577","2025-11-03","1800","0","0","0",,"Cash","1800","0","1",""
"298","13","NA","2025-11-07","0","0","0","4000",,"Cash","4000","0","1",""
"299","37","1579","2025-11-07","1000","0","0","0",,"Cash","1000","0","1","Bill
"
"300","37","NA","2025-11-07","0","0","0","4000",,"Cash","4000","0","1","Bill"
"301","37","NA","2025-11-07","0","9400","0","0",,"Cash","9400","0","1","Bill
"
"304","1","NA","2025-11-08","0","0","1800","0",,"Cash","1800","0","1",""
"305","2","NA","2025-11-08","0","0","1200","0",,"Cash","1200","0","1",""
"306","3","NA","2025-11-08","0","0","600","0",,"Cash","600","0","1",""
