"id","category_id","rate","color","start_number","end_number","created_at","status","event_session_id","entry_date"
"91","2","100","Green","8001","9000","2025-11-06 06:19:09","Available","1","2025-09-22"
"92","2","100","Green","9001","10000","2025-11-06 06:19:09","Available","1","2025-09-22"
"93","2","100","Green","10001","11000","2025-11-06 06:19:09","Available","1","2025-09-22"
"94","2","100","Green","11001","12000","2025-11-06 06:19:09","Available","1","2025-09-22"
"95","2","100","Red","3356","3362","2025-11-06 06:19:57","Settled","1","2025-09-22"
"96","2","100","Red","4001","5000","2025-11-06 06:19:57","Available","1","2025-09-22"
"97","2","100","Red","12001","13000","2025-11-06 06:20:21","Available","1","2025-09-22"
"98","2","100","Red","15001","16000","2025-11-06 06:20:43","Available","1","2025-09-22"
"99","2","100","Red","16001","17000","2025-11-06 06:20:43","Available","1","2025-09-22"
"100","2","100","Red","8001","9000","2025-11-06 06:21:15","Available","1","2025-09-22"
"101","2","100","Red","9001","10000","2025-11-06 06:21:15","Available","1","2025-09-22"
"102","2","100","Red","22001","23000","2025-11-06 06:21:39","Available","1","2025-09-22"
"103","2","100","Green","16327","16330","2025-11-06 06:22:11","Settled","1","2025-09-22"
"104","2","100","Green","15170","16000","2025-11-06 06:22:42","Available","1","2025-09-22"
"105","2","100","Green","17001","18000","2025-11-06 06:23:12","Available","1","2025-11-28"
"106","2","100","Green","18001","19000","2025-11-06 06:23:13","Available","1","2025-11-28"
"107","2","100","Green","19001","20000","2025-11-06 06:23:13","Available","1","2025-11-28"
"108","2","100","Green","21001","22000","2025-11-06 06:23:54","Available","1","2025-09-22"
"109","2","100","Green","22001","23000","2025-11-06 06:23:54","Available","1","2025-09-22"
"110","2","100","Green","15001","16000","2025-11-06 06:24:18","Available","1","2025-09-22"
"111","2","100","Yellow","9621","10000","2025-11-06 06:24:45","Available","1","2025-09-22"
"112","2","100","Yellow","20001","21000","2025-11-06 06:25:21","Available","1","2025-09-22"
"113","2","100","Yellow","21001","22000","2025-11-06 06:25:21","Available","1","2025-09-22"
"114","2","100","Red","801","802","2025-11-06 06:26:03","Settled","1","2025-09-22"
"115","2","100","Red","1001","2000","2025-11-06 06:26:03","Available","1","2025-09-22"
"116","2","100","Red","2001","3000","2025-11-06 06:26:03","Available","1","2025-09-22"
"117","2","100","Red","3001","4000","2025-11-06 06:26:03","Available","1","2025-09-22"
"118","2","100","Red","4001","5000","2025-11-06 06:26:03","Available","1","2025-09-22"
"119","2","100","Red","1","1000","2025-11-06 06:26:27","Available","1","2025-09-22"
"120","2","100","Red","1001","2000","2025-11-06 06:26:27","Available","1","2025-09-22"
"121","2","50","Pink","9614","10000","2025-11-06 06:27:14","Available","1","2025-09-22"
"122","2","50","Pink","1145","2000","2025-11-06 06:27:38","Available","1","2025-09-22"
"123","2","50","Pink","15001","16000","2025-11-06 06:28:03","Available","1","2025-09-22"
"124","2","50","Pink","17001","18000","2025-11-06 06:28:24","Available","1","2025-09-22"
"125","2","100","Yellow","11884","11885","2025-11-06 06:29:04","Settled","1","2025-09-22"
"126","2","100","Yellow","12001","13000","2025-11-06 06:29:04","Available","1","2025-09-22"
"127","2","100","Yellow","13001","14000","2025-11-06 06:29:04","Available","1","2025-09-22"
"128","2","100","Yellow","14001","15000","2025-11-06 06:29:04","Available","1","2025-09-22"
"129","2","100","Green","20706","20711","2025-11-06 06:29:31","Settled","1","2025-09-22"
"130","2","100","Green","6001","7000","2025-11-06 06:29:53","Available","1","2025-09-22"
"131","2","100","Green","7001","8000","2025-11-06 06:29:53","Available","1","2025-09-22"
"132","2","100","Green","13001","14000","2025-11-06 06:30:17","Available","1","2025-09-22"
"133","2","100","Green","14001","15000","2025-11-06 06:30:17","Available","1","2025-09-22"
"134","2","100","Green","19001","20000","2025-11-06 06:30:49","Available","1","2025-09-22"
"135","2","100","Green","20001","21000","2025-11-06 06:30:49","Available","1","2025-09-22"
"136","2","100","Green","23001","24000","2025-11-06 06:31:15","Available","1","2025-09-22"
